Enclosure,Treatment,Date,Interval,Weather,Time,Temp ©,Secchi (cm),DO (mg/L),Cond. (uS/cm),pH,PC:CHL,PC RFU,CHL RFU,PC Blank,CHL Blank,CHL Corrected,PC Corrected,TN (ug/L),TP (ug/L),TN:TP,SRP (ug/L),NO3-N (mg/L),TAN (ug/L),Urea-N (ug/L),TDN (ug/L),Chlororphyll (ug/L),Phycocyanin (ug/L),PHYC:CHL,Toxins,MIB (ng/L),Geosmin(ng/L),Phyto cells/mL,Cyano cells/mL,pg phyco/cell,pg chloro/cell,notes
Community-4,Urea,9/21/2020,2hr.,Partly Cloudy,12:36,22,33,15.67,102,10.36,4.2733,20900,4890.9,21,52,4838.9,20879,n/a,n/a,n/a,94.90,0.00,0.00,428.87,428.87,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-5,NH4,9/21/2020,2hr.,Partly Cloudy,12:47,22,33,15.95,100.1,10.35,3.4856,12233,3509.6,215,69,3440.6,12018,n/a,n/a,n/a,120.16,0.00,703.30,19.15,722.46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-6,NO3,9/21/2020,2hr.,Partly Cloudy,12:50,22,38,16.33,108,10.46,2.5396,13121,5166.4,11,51,5115.4,13110,n/a,n/a,n/a,93.67,0.72,0.00,0.00,717.60,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-7,Control,9/21/2020,2hr.,Partly Cloudy,12:55,22.1,39,16.22,104.2,10.46,3.7061,12080,3259.5,131,50,3209.5,11949,n/a,n/a,n/a,127.12,0.00,0.00,0.00,0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-8,Urea,9/21/2020,2hr.,Partly Cloudy,13:00,21.8,38,16.79,109.8,10.52,5.27,17305,3283.8,10,46,3237.8,17295,n/a,n/a,n/a,93.02,0.00,0.00,411.81,411.81,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-9,NH4,9/21/2020,2hr.,Partly Cloudy,13:09,22.1,35,16.42,103.6,10.4,5.5404,22957,4143.6,126,61,4082.6,22831,n/a,n/a,n/a,110.36,0.00,660.03,0.00,660.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-10,Control,9/21/2020,2hr.,Partly Cloudy,13:15,22,37,16.18,105,10.47,2.4916,9141.1,3668.7,171,54,3614.7,8970.1,n/a,n/a,n/a,135.18,0.00,0.00,0.00,0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-11,NO3,9/21/2020,2hr.,Partly Cloudy,13:20,22.1,34,17.02,114.3,10.54,3.7184,18123,4873.9,44,50,4823.9,18079,n/a,n/a,n/a,112.03,0.64,0.00,0.00,641.69,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-12,Urea,9/21/2020,2hr.,Partly Cloudy,13:29,22.1,38,16.37,108.4,10.51,1.0664,2597.5,2435.8,80,49,2386.8,2517.5,n/a,n/a,n/a,134.38,0.00,0.00,465.77,465.01,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-13,NH4,9/21/2020,2hr.,Partly Cloudy,13:34,22.1,36,16.17,103.5,10.42,1.3207,3555.9,2692.4,79,62,2630.4,3476.9,n/a,n/a,n/a,134.74,0.00,741.19,0.00,741.19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-14,NO3,9/21/2020,2hr.,Partly Cloudy,13:43,22.3,38,16.58,100.8,10.46,3.2794,16522,5038.2,32,49,4989.2,16490,n/a,n/a,n/a,116.75,0.66,0.00,12.97,671.50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-15,Urea,9/21/2020,2hr.,Partly Cloudy,13:48,22.3,34,16.78,109.7,10.53,1.3217,4014,3036.9,118,55,2981.9,3896,n/a,n/a,n/a,134.60,0.00,0.00,444.65,444.65,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-16,Control,9/21/2020,2hr.,Partly Cloudy,13:58,22.4,38,16.62,108,10.5,1.5759,5898.4,3742.9,122,56,3686.9,5776.4,n/a,n/a,n/a,139.82,0.00,0.00,10.41,10.41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-17,NH4,9/21/2020,2hr.,Partly Cloudy,14:05,22.3,34,16.45,104.2,10.41,0.6351,1432.4,2255.7,14,49,2206.7,1418.4,n/a,n/a,n/a,137.14,0.00,655.28,8.92,661.68,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-18,NO3,9/21/2020,2hr.,Partly Cloudy,14:14,22.4,33,16.89,113.5,10.52,3.3896,14537,4288.8,62,59,4229.8,14475,n/a,n/a,n/a,114.35,0.68,21.26,8.92,714.85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-19,Control,9/21/2020,2hr.,Partly Cloudy,14:22,22.2,36,16.82,108.9,10.53,1.4744,4821.5,3270,120,55,3215,4701.5,n/a,n/a,n/a,136.27,0.00,0.00,0.00,0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-20,Urea,9/21/2020,2hr.,Partly Cloudy,14:32,22.4,39,16.85,110.6,10.52,0.8485,3208.3,3781,104,53,3728,3104.3,n/a,n/a,n/a,132.57,0.00,0.00,459.37,459.37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-21,NH4,9/21/2020,2hr.,Partly Cloudy,14:36,22.4,35,16.71,106.4,10.47,2.5354,12413,4896.1,162,83,4813.1,12251,n/a,n/a,n/a,136.56,0.00,655.10,23.63,678.73,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-22,NO3,9/21/2020,2hr.,Partly Cloudy,14:40,22.4,40,16.79,111,10.51,1.1734,4359.5,3715.2,103,54,3661.2,4256.5,n/a,n/a,n/a,125.16,0.63,0.00,0.00,633.90,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-23,Urea,9/21/2020,2hr.,Partly Cloudy,14:45,22.4,36,17.1,112.4,10.59,1.1008,4208.9,3823.4,43,54,3769.4,4165.9,n/a,n/a,n/a,128.28,0.00,0.00,409.67,409.67,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-24,Control,9/21/2020,2hr.,Partly Cloudy,14:53,22.3,39,16.34,106,10.51,0.4755,1320,2776.1,60,53,2723.1,1260,n/a,n/a,n/a,136.48,0.00,0.00,4.22,4.22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community,Pond,9/21/2020,2hr.,Partly Cloudy,14:56,22.4,33,12.56,89.1,10.14,1.6461,10814,6569.9,19,66,6503.9,10795,n/a,n/a,n/a,18.20,0.00,0.00,0.00,0.00,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-1,NO3,9/22/2020,24hr.,Partly Cloudy,9:52,20.5,39,15.31,101.4,10.22,3.7046,13520,3649.7,8,45,3604.7,13512,2632.15,285.36,9.22,79.41,0.00,0.00,1.66,1.16,69.41,171.87,2.476097284,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-2,NH4,9/22/2020,24hr.,Partly Cloudy,9:44,20.5,40,14.41,93.6,10.16,7.7086,22463,2914,130,56,2858,22333,2294.06,290.25,7.90,88.43,0.45,231.51,6.39,690.73,42.62,53.36,1.252147179,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-3,Control,9/22/2020,24hr.,Partly Cloudy,9:50,20.6,33,15.19,101.2,10.39,3.19,16230,5088,5,43,5045,16225,2015.62,321.26,6.27,82.89,0.00,0.00,15.37,15.37,79.20,215.40,2.719762872,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-4,Urea,9/22/2020,24hr.,Partly Cloudy,9:59,20.6,29,15.1,98.7,10.33,0.54,1372.1,2540.8,37,41,2499.8,1335.1,2447.53,374.10,6.54,115.07,0.00,6.32,20.10,26.42,49.55,6.18,0.124792787,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-5,NH4,9/22/2020,24hr.,Partly Cloudy,10:04,20.6,38,14.77,95.2,10.24,6.3941,25613,4005.7,49,52,3953.7,25564,2538.00,313.39,8.10,80.00,0.00,172.71,0.00,172.71,88.12,142.12,1.612800984,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-6,NO3,9/22/2020,24hr.,Partly Cloudy,10:12,20.6,34,15.67,102.4,10.35,3.6255,12451,3434.5,148,51,3383.5,12303,2275.63,329.14,6.91,103.82,0.00,0.00,0.00,0.00,68.53,101.90,1.486897432,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-7,Control,9/22/2020,24hr.,Partly Cloudy,10:17,20.7,39,15.43,101.8,10.4,0.6553,1299.7,1983.2,34,39,1944.2,1265.7,1689.25,300.51,5.62,72.97,0.00,0.00,4.73,4.73,37.82,2.17,0.057352295,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-8,Urea,9/22/2020,24hr.,Partly Cloudy,10:22,20.7,36,15.78,104.2,10.43,6.6865,31710,4742.5,12,46,4696.5,31698,2752.11,325.68,8.45,81.18,0.00,74.05,166.43,240.48,91.73,174.74,1.904861554,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-9,NH4,9/22/2020,24hr.,Partly Cloudy,10:33,20.8,34,15.02,98.3,10.34,6.2498,27718,4435.1,63,58,4377.1,27655,2706.21,321.38,8.42,83.85,0.00,157.27,0.00,157.27,81.23,153.50,1.889695567,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-10,Control,9/22/2020,24hr.,Partly Cloudy,10:39,20.8,35,15.33,101.3,10.43,2.6387,11688,4429.7,10,43,4386.7,11678,1978.09,282.02,7.01,95.83,0.00,0.00,8.99,8.99,84.50,206.55,2.44423409,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-11,NO3,9/22/2020,24hr.,Partly Cloudy,10:44,20.8,39,15.87,106.1,10.44,3.4785,20180,5801.4,9,42,5759.4,20171,2861.34,342.02,8.37,89.54,0.00,0.00,1.66,1.66,92.69,229.99,2.481244339,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-12,Urea,9/22/2020,24hr.,Partly Cloudy,10:54,20.8,40,15.25,102.8,10.41,3.354,15724,4688.3,12,43,4645.3,15712,2472.99,350.61,7.05,89.69,0.00,0.00,216.54,216.54,74.03,176.31,2.38166253,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-13,NH4,9/22/2020,24hr.,Partly Cloudy,10:59,20.9,37,14.78,98.2,10.33,5.0362,20488,4068.2,214,64,4004.2,20274,2816.11,319.36,8.82,104.49,0.00,215.30,3.32,218.62,71.32,28.05,0.393327388,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-14,NO3,9/22/2020,24hr.,Partly Cloudy,11:09,20.9,33,15.84,105.3,10.44,5.3119,26999,5080.8,26,45,5035.8,26973,2713.24,210.94,12.86,97.31,0.00,0.00,0.00,0.00,95.94,249.24,2.597809121,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-15,Urea,9/22/2020,24hr.,Partly Cloudy,11:14,21,37,15.58,103.1,10.45,2.4737,12492,5049.9,6,40,5009.9,12486,2589.93,311.84,8.31,91.25,0.00,0.00,227.18,227.18,78.04,222.55,2.851615888,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-16,Control,9/22/2020,24hr.,Partly Cloudy,11:24,21,34,15.52,103.2,10.47,3.2508,13611,4187,25,48,4139,13586,2005.90,320.55,6.26,84.59,0.00,0.00,8.99,8.99,80.73,163.62,2.02676794,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-17,NH4,9/22/2020,24hr.,Partly Cloudy,11:35,21.1,38,14.89,97.7,10.28,3.2977,12966,3937.9,153,69,3868.9,12813,2687.78,334.03,8.05,110.93,0.00,262.39,0.00,262.39,62.49,25.72,0.411564151,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-18,NO3,9/22/2020,24hr.,Partly Cloudy,11:45,21.1,32,16.22,108.1,10.49,6.4415,25283,3925.1,21,55,3870.1,25262,2783.61,332.60,8.37,95.09,0.01,0.57,1.90,13.59,99.76,269.38,2.700143187,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-19,Control,9/22/2020,24hr.,Partly Cloudy,11:55,21.1,35,15.33,102.3,10.46,2.0128,9147,4544.3,5,44,4500.3,9142,1726.11,306.48,5.63,79.63,0.00,0.00,0.00,0.00,72.52,153.10,2.111115464,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-20,Urea,9/22/2020,24hr.,Partly Cloudy,12:04,21.2,33,15.74,104.6,10.46,3.6098,15722,4355.5,15,46,4309.5,15707,2642.88,379.23,6.97,91.62,0.00,0.00,256.02,256.02,98.65,244.24,2.475898673,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-21,NH4,9/22/2020,24hr.,Partly Cloudy,12:09,21.3,30,15.34,101.2,10.4,3.1074,15142,4872.9,293,75,4797.9,14849,2894.18,347.98,8.32,124.99,0.05,201.39,21.99,270.10,95.63,23.41,0.244854127,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-22,NO3,9/22/2020,24hr.,Partly Cloudy,12:14,21.2,33,16.07,104.2,10.45,2.0031,13398,6688.6,16,51,6637.6,13382,2951.48,322.58,9.15,84.96,0.00,0.00,0.00,0.00,88.57,244.55,2.761205047,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-23,Urea,9/22/2020,24hr.,Partly Cloudy,12:19,21.3,35,16.07,105.3,10.5,2.2124,14673,6632.4,12,49,6583.4,14661,2381.52,310.77,7.66,85.25,0.00,0.00,178.25,178.25,108.20,296.82,2.743134019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-24,Control,9/22/2020,24hr.,Partly Cloudy,12:28,21.3,36,15.14,101.1,10.46,1.7012,7732.7,4545.3,13,48,4497.3,7719.7,1822.28,331.64,5.49,93.84,0.00,0.00,5.44,5.44,68.62,155.92,2.272223478,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community,Pond,9/22/2020,24hr.,Partly Cloudy,12:30,21.3,34,11.67,88.1,10.11,2.0288,12030,5929.6,53,57,5872.6,11977,1967.70,237.54,8.28,25.03,0.00,0.00,12.30,12.30,81.57,202.65,2.48421573,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-1,NO3,9/23/2020,48hr.,Partly Cloudy,9:19,21.1,37,15.93,106.4,10.46,4.1877,17245,4118.1,12,46,4072.1,17233,2312.99,237.19,9.75,71.50,0.00,5.03,18.92,23.95,69.55,164.76,2.368789276,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-2,NH4,9/23/2020,48hr.,Partly Cloudy,9:24,21.1,35,14.78,95.8,10.35,5.8898,20259,3439.7,13,49,3390.7,20246,2075.46,265.61,7.81,67.18,0.00,34.06,55.62,89.68,67.15,196.46,2.925756019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-3,Control,9/23/2020,48hr.,Partly Cloudy,9:28,21.1,32,15.15,102.8,10.51,2.1428,13201,6160.7,10,46,6114.7,13191,1961.82,281.08,6.98,76.99,0.00,15.63,50.41,66.04,85.77,190.09,2.216427983,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-4,Urea,9/23/2020,48hr.,Partly Cloudy,9:36,21.2,29,16.25,108.7,10.57,3.9259,29792,7588.6,30,50,7538.6,29762,2579.01,319.34,8.08,66.23,0.00,15.66,38.52,54.19,122.10,467.34,3.827520222,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-5,NH4,9/23/2020,48hr.,Partly Cloudy,9:41,21.2,34,15.31,98.5,10.4,1.4977,11963,7933.3,16,47,7886.3,11947,2343.40,278.20,8.42,50.56,0.00,11.37,23.30,34.66,97.97,214.74,2.191979582,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-6,NO3,9/23/2020,48hr.,Partly Cloudy,9:46,21.1,35,16.39,108.7,10.55,3.0083,16681,5544.9,13,47,5497.9,16668,2640.15,340.81,7.75,75.67,0.00,10.24,45.20,55.43,80.49,209.00,2.596682191,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-7,Control,9/23/2020,48hr.,Partly Cloudy,9:51,21.2,38,15.06,101.1,10.47,2.7819,10716,3852,24,46,3806,10692,1650.66,305.31,5.41,75.01,0.00,14.54,30.81,45.34,52.04,100.25,1.926521693,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-8,Urea,9/23/2020,48hr.,Partly Cloudy,9:56,21.2,30,16.22,107.5,10.55,2.4057,19933,8286.1,11,49,8237.1,19922,2465.37,355.80,6.93,62.57,0.00,9.73,24.97,34.69,115.10,365.56,3.17592542,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-9,NH4,9/23/2020,48hr.,Partly Cloudy,10:02,21.2,34,15.42,101.3,10.41,2.9715,20291,6828.6,21,484,6344.6,20270,2504.74,269.09,9.31,68.20,0.01,12.86,49.57,68.07,101.25,292.46,2.888570692,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-10,Control,9/23/2020,48hr.,Partly Cloudy,10:07,21.2,37,14.99,100.7,10.47,1.6017,8086.5,5048.7,36,89,4959.7,8050.5,1909.32,324.62,5.88,70.77,0.12,10.78,31.64,162.74,95.56,171.59,1.795710054,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-11,NO3,9/23/2020,48hr.,Partly Cloudy,10:13,21.2,37,16.26,110.5,10.58,2.4153,16359,6773.4,4,44,6729.4,16355,2348.52,259.14,9.06,83.44,0.00,18.43,36.85,55.29,83.84,288.66,3.443063543,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-12,Urea,9/23/2020,48hr.,Partly Cloudy,10:18,21.2,39,15.52,104.5,10.54,2.5085,14694,5857.6,10,44,5813.6,14684,2140.45,307.83,6.95,72.67,0.00,19.38,70.85,90.23,87.81,251.07,2.859107937,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Community-13,NH4,9/23/2020,48hr.,Partly Cloudy,10:24,21.3,34,15.07,100.1,10.42,1.7336,13912,8025.3,13,46,7979.3,13899,2599.82,288.04,9.03,69.38,0.00,21.57,54.79,76.35,109.65,322.45,2.940777126,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
